Realization	utility	week	infra.
739	0	1982	4
740	0	1878	4
742	0	1669	4
743	0	1930	4
746	0	1826	4
751	0	1930	4
756	0	2295	4
758	0	1722	4
759	0	1408	4
760	0	1408	4
761	0	1930	4
763	0	1878	4
765	0	1826	4
766	0	1826	4
768	0	2295	4
769	0	2243	4
770	0	1513	4
772	0	2139	4
778	0	2087	4
784	0	1461	4
786	0	2087	4
787	0	1565	4
788	0	1565	4
789	0	1722	4
793	0	1304	4
794	0	1826	4
796	0	1722	4
798	0	1617	4
800	0	2243	4
802	0	1826	4
803	0	2035	4
809	0	1774	4
816	0	2035	4
822	0	1669	4
825	0	1878	4
828	0	1669	4
830	0	2087	4
831	0	1722	4
832	0	2191	4
833	0	1930	4
835	0	1774	4
837	0	2243	4
844	0	1878	4
845	0	1408	4
850	0	1513	4
853	0	1565	4
855	0	1461	4
858	0	1878	4
859	0	1669	4
860	0	1826	4
861	0	2295	4
862	0	1982	4
866	0	2243	4
867	0	1617	4
868	0	1930	4
870	0	2139	4
871	0	2139	4
872	0	1930	4
874	0	1826	4
879	0	1722	4
880	0	1826	4
882	0	1878	4
883	0	2191	4
887	0	2243	4
888	0	1565	4
889	0	1930	4
891	0	1669	4
892	0	1826	4
893	0	1930	4
894	0	1930	4
896	0	1878	4
897	0	2087	4
898	0	1930	4
909	0	1878	4
910	0	1774	4
912	0	1982	4
913	0	1722	4
919	0	1826	4
920	0	1982	4
923	0	2243	4
926	0	1617	4
932	0	1878	4
933	0	1930	4
935	0	1617	4
937	0	1565	4
946	0	2139	4
948	0	1878	4
950	0	1513	4
951	0	1356	4
952	0	1722	4
953	0	1982	4
954	0	2139	4
955	0	1878	4
956	0	1826	4
959	0	1774	4
960	0	2295	4
962	0	2087	4
963	0	2087	4
967	0	2035	4
968	0	1356	4
970	0	1461	4
977	0	2243	4
980	0	2191	4
981	0	1565	4
983	0	1930	4
985	0	1982	4
986	0	1461	4
987	0	1722	4
988	0	1617	4
990	0	2139	4
991	0	1826	4
993	0	1461	4
995	0	1982	4
0	1	1722	5
1	1	1982	5
2	1	1617	5
3	1	1826	5
4	1	1148	11
4	1	1461	5
7	1	1722	5
8	1	1722	5
9	1	1878	5
10	1	1722	5
11	1	1774	5
12	1	1878	5
13	1	1878	5
14	1	1669	5
15	1	1304	5
16	1	1565	5
17	1	2243	5
18	1	1565	5
20	1	1617	5
21	1	1252	11
21	1	1565	5
28	1	2295	5
29	1	1513	5
30	1	1513	11
30	1	1826	5
33	1	2295	5
34	1	1669	5
35	1	1252	11
35	1	1565	5
36	1	1200	5
38	1	2191	5
41	1	1669	5
42	1	2139	5
43	1	1722	5
45	1	1513	5
46	1	2035	5
47	1	1669	5
48	1	1513	5
51	1	1669	5
52	1	1408	5
55	1	2295	5
56	1	1043	11
56	1	1356	5
58	1	1513	5
59	1	2139	5
60	1	1669	5
61	1	1722	5
63	1	1982	5
64	1	2035	5
65	1	1617	5
66	1	1304	11
66	1	1617	5
67	1	1617	5
71	1	991	11
71	1	1304	5
72	1	1252	5
74	1	1356	5
75	1	2243	5
76	1	2035	5
77	1	1669	5
82	1	1565	5
84	1	1148	11
84	1	1461	5
87	1	1669	5
89	1	1982	5
90	1	2087	5
91	1	1461	5
92	1	1356	11
92	1	1669	5
93	1	678	11
93	1	1043	5
94	1	1304	5
95	1	1043	11
95	1	1356	5
99	1	1565	5
100	1	2035	5
104	1	1826	5
105	1	2087	5
108	1	1304	11
108	1	1617	5
109	1	1617	5
110	1	1565	5
111	1	2295	5
113	1	1095	11
113	1	1408	5
115	1	1252	11
115	1	1565	5
116	1	1982	5
119	1	834	11
119	1	1148	5
120	1	2035	5
121	1	1565	5
122	1	1774	5
125	1	1461	5
126	1	2295	5
131	1	1461	11
131	1	1774	5
136	1	2035	5
137	1	1252	11
137	1	1565	5
138	1	2295	5
139	1	1930	5
140	1	1669	5
141	1	1408	11
141	1	1722	5
142	1	1461	5
143	1	1722	5
144	1	1722	5
148	1	1982	5
149	1	1722	5
150	1	2243	5
151	1	2191	5
152	1	1356	5
153	1	1774	5
158	1	1669	5
160	1	1669	5
162	1	2295	5
165	1	1826	5
166	1	1095	11
166	1	1513	5
167	1	1565	5
169	1	1513	5
171	1	2139	5
175	1	1878	5
176	1	1565	5
178	1	1356	11
178	1	1669	5
179	1	1722	5
182	1	1565	5
183	1	2295	5
184	1	1982	5
185	1	2087	5
187	1	1200	11
187	1	1513	5
188	1	1774	5
190	1	2087	5
192	1	1722	5
194	1	1669	5
195	1	1461	5
199	1	2087	5
201	1	1513	5
201	1	2035	11
202	1	1200	11
202	1	1513	5
204	1	1669	5
205	1	1565	5
206	1	2035	5
207	1	1513	5
210	1	1617	5
211	1	1565	5
213	1	2035	5
216	1	1669	5
219	1	1461	5
220	1	1513	5
221	1	2139	5
222	1	1408	11
222	1	1722	5
226	1	1095	5
227	1	1565	5
228	1	1617	5
229	1	1617	5
230	1	1148	11
230	1	1461	5
231	1	1722	5
232	1	1252	11
232	1	1565	5
233	1	1252	11
233	1	1565	5
234	1	1043	11
234	1	1356	5
238	1	1461	5
239	1	1982	5
240	1	1252	11
240	1	1565	5
242	1	1669	5
245	1	1774	5
246	1	1930	5
247	1	1722	5
251	1	2087	5
255	1	1669	5
256	1	1774	5
257	1	1043	11
257	1	1356	5
261	1	2295	5
262	1	2139	5
264	1	2035	5
265	1	1513	5
266	1	1408	5
267	1	2295	5
268	1	1461	5
270	1	1878	5
272	1	1669	5
274	1	1878	5
275	1	1982	5
279	1	1565	5
281	1	1356	5
282	1	1408	11
282	1	1722	5
283	1	1722	5
285	1	1408	5
287	1	991	11
287	1	1565	5
288	1	1930	5
290	1	1774	5
291	1	1200	11
291	1	1513	5
294	1	2087	5
295	1	1513	5
298	1	1513	5
299	1	1722	5
301	1	1930	5
302	1	2139	5
304	1	1356	5
307	1	2087	5
309	1	2243	5
312	1	1878	5
316	1	1565	5
318	1	2191	5
319	1	1252	11
319	1	1617	5
321	1	1722	5
323	1	1930	5
324	1	1878	5
326	1	1252	11
326	1	1565	5
329	1	1669	5
330	1	2139	5
333	1	1617	5
334	1	2139	5
335	1	1565	5
336	1	2295	5
338	1	2243	5
339	1	1565	5
340	1	1774	5
343	1	1878	5
344	1	1408	5
345	1	1722	5
346	1	2087	5
348	1	1565	5
351	1	887	11
351	1	1513	5
353	1	2087	5
354	1	1617	5
355	1	1774	5
357	1	1982	5
358	1	2139	5
360	1	1408	5
361	1	1513	5
362	1	1878	5
363	1	1513	5
364	1	1408	5
365	1	2243	5
366	1	1043	11
366	1	1356	5
367	1	1252	5
368	1	1356	11
368	1	1669	5
369	1	2295	5
371	1	2087	5
372	1	1356	5
374	1	2087	5
375	1	1722	5
385	1	1669	5
388	1	2191	5
389	1	1356	11
389	1	1669	5
390	1	2295	5
393	1	1461	11
393	1	1774	5
394	1	1252	5
396	1	1930	5
397	1	2243	5
398	1	1774	5
399	1	2191	5
403	1	1408	11
403	1	1722	5
407	1	1878	5
408	1	2191	5
409	1	887	11
409	1	1617	5
410	1	2087	5
411	1	1826	5
412	1	1982	5
413	1	1461	5
415	1	1617	5
416	1	1356	5
417	1	991	11
417	1	1513	5
418	1	1304	11
418	1	1617	5
419	1	1826	5
421	1	1565	5
422	1	1565	5
425	1	2295	5
428	1	1356	5
429	1	1826	5
430	1	1565	5
431	1	1617	5
432	1	2243	5
433	1	1878	5
434	1	1356	11
434	1	1669	5
435	1	834	11
435	1	1304	5
437	1	2191	5
441	1	1461	11
441	1	1774	5
445	1	1669	5
446	1	1200	5
448	1	1565	5
450	1	1200	11
450	1	1513	5
451	1	1565	5
452	1	2087	5
453	1	1878	5
454	1	1826	5
455	1	1304	5
456	1	1356	5
457	1	1252	5
459	1	1878	5
461	1	1304	11
461	1	1617	5
465	1	1252	11
465	1	1565	5
466	1	1826	5
467	1	678	11
467	1	1408	5
468	1	1408	5
469	1	2191	5
470	1	1722	5
472	1	1252	5
473	1	1826	5
474	1	2191	5
475	1	1878	5
483	1	1461	5
484	1	1356	5
485	1	2243	5
486	1	1148	5
487	1	1982	5
490	1	1722	5
491	1	1878	5
494	1	2191	5
495	1	2191	5
500	1	1826	5
502	1	1982	5
504	1	2035	5
508	1	1304	5
509	1	1878	5
510	1	1200	11
510	1	1513	5
513	1	1669	5
514	1	1617	5
515	1	2139	5
519	1	1669	5
520	1	1200	5
520	1	1878	11
524	1	1878	5
525	1	1200	11
525	1	1513	5
528	1	1461	5
529	1	1252	11
529	1	1565	5
530	1	1722	5
532	1	1408	5
533	1	1148	11
533	1	1461	5
535	1	1043	11
535	1	1513	5
537	1	1878	5
538	1	2087	5
540	1	1565	5
543	1	1356	5
544	1	1669	5
545	1	1617	5
546	1	2191	5
547	1	1513	5
552	1	2087	5
553	1	2087	5
555	1	1461	5
556	1	2191	5
557	1	2243	5
562	1	1669	5
563	1	1252	5
563	1	2295	11
564	1	1304	11
564	1	1617	5
567	1	2243	5
570	1	1930	5
571	1	1826	5
572	1	1669	5
573	1	2191	5
574	1	1200	11
574	1	1513	5
578	1	1513	5
579	1	1617	5
580	1	1669	5
