Realization	utility	week	infra.
234	0	991	4
234	0	1304	10
234	0	1617	9
238	0	1982	4
238	0	2243	8
240	0	1617	4
240	0	1878	8
240	0	2191	10
241	0	1617	4
241	0	1878	8
242	0	1043	8
242	0	1617	4
242	0	1930	10
242	0	2243	9
243	0	1461	4
243	0	1722	8
246	0	1461	4
246	0	1722	8
247	0	1722	4
247	0	2035	8
255	0	1617	4
255	0	1878	8
256	0	1565	4
256	0	1826	8
257	0	991	8
257	0	1669	4
257	0	1982	10
257	0	2295	9
261	0	2035	4
262	0	1513	4
262	0	1774	8
264	0	1513	4
264	0	1774	8
265	0	1304	4
265	0	1565	8
265	0	1982	10
266	0	887	8
266	0	1513	4
266	0	1826	10
266	0	2139	9
268	0	1200	4
268	0	1461	8
272	0	1930	4
272	0	2191	8
275	0	1461	4
275	0	1722	8
279	0	1826	4
279	0	2087	8
281	0	1565	4
281	0	1826	8
281	0	2191	10
282	0	1043	8
282	0	2139	4
283	0	1148	8
283	0	1930	4
283	0	2243	10
285	0	1200	4
285	0	1461	8
285	0	1774	10
285	0	2087	9
287	0	1252	4
287	0	1513	8
287	0	1878	10
287	0	2191	9
288	0	1982	4
288	0	2243	8
290	0	1669	4
290	0	1930	8
291	0	834	8
291	0	1200	10
291	0	1513	4
291	0	1826	9
294	0	2087	4
295	0	1200	8
295	0	2191	4
298	0	1722	4
298	0	1982	8
301	0	1565	4
301	0	1826	8
303	0	2087	4
304	0	1774	4
304	0	2035	8
312	0	2295	4
316	0	1669	4
316	0	1930	8
318	0	1774	4
318	0	2035	8
319	0	1043	8
319	0	1356	4
319	0	1669	10
319	0	1982	9
321	0	1826	4
321	0	2087	8
323	0	1722	4
323	0	1982	8
326	0	1252	4
326	0	1513	8
326	0	1826	10
326	0	2139	9
327	0	1826	4
327	0	2139	8
329	0	1878	4
329	0	2139	8
333	0	1043	8
333	0	1669	4
333	0	2035	10
334	0	1148	4
334	0	1408	8
335	0	1617	4
335	0	1878	8
336	0	1982	4
336	0	2295	8
338	0	1669	4
