idx,REL,RF,INF NPC,PFC,WCC,Name
51,0.981,0.02211,59.93274,0.09709,0.00636,Brushed
52,0.981,0.16704,15.49154,0.11736,0.06903,Brushed
53,0.991,0.2498,59.93274,0.16816,0.06709,Brushed
54,0.983,0.16269,22.09532,0.12443,0.05232,Brushed
55,0.987,0.26987,19.35588,0.36431,0.07548,Brushed
56,0.981,0.16164,6.56119,0.14935,0.06628,Brushed
57,0.982,0.14698,29.8137,0.16519,0.00243,Brushed
58,0.99,0.14109,59.93274,0.14778,0.04591,Brushed
59,0.985,0.15533,37.37229,0.47415,0.00884,Brushed
60,0.987,0.26987,19.35588,0.22325,0.0932,Brushed
61,0.985,0.17456,37.37229,0.34455,0.01678,Brushed
62,0.982,0.15502,15.49154,0.19973,0.01194,Brushed
63,0.985,0.24133,15.05049,0.56375,0.02116,Brushed
64,0.984,0.14824,19.35588,0.22721,0.0777,Brushed
65,0.983,0.2,15.49154,0.15612,0.07895,Brushed
66,0.981,0.04318,39.15597,0.10993,0.04102,Brushed
67,0.982,0.03569,49.10598,0.06227,0.0478,Brushed
68,0.986,0.01558,68.50349,0.07206,0.00463,Brushed
69,0.988,0.06707,48.69833,0.07267,0.05115,Brushed
70,0.989,0.0986,49.10598,0.09341,0.07344,Brushed
71,0.984,0.02116,52.26376,0.12861,0.00739,Brushed
72,0.991,0.12989,65.02166,0.16015,0.05215,Brushed
73,0.988,0.05251,49.10598,0.08323,0.04842,Brushed
74,0.983,0.07476,37.5562,0.07357,0.07786,Brushed
75,0.991,0.10587,78.14701,0.09266,0.08925,Brushed
76,0.982,0.02109,48.69833,0.12554,0.0006,Brushed
77,0.989,0.11358,53.80939,0.07005,0.09726,Brushed
78,0.988,0.14922,39.85339,0.10448,0.09954,Brushed
79,0.983,0.02911,49.10598,0.10442,0.02747,Brushed
80,0.982,0.02231,52.37964,0.07259,0.0198,Brushed
81,0.989,0.08113,55.79374,0.08813,0.05891,Brushed
83,0.988,0.05491,54.4161,0.11495,0.0389,Brushed
84,0.983,0.02396,49.29143,0.14016,0.01135,Brushed
86,0.987,0.01809,96.44674,0.14733,0.00492,Brushed
87,0.985,0.04176,49.29143,0.07399,0.05861,Brushed
88,0.988,0.01871,92.97197,0.09325,0.01245,Brushed
89,0.991,0.12987,64.98138,0.37081,0.04372,Brushed
90,0.981,0.07676,26.49987,0.07358,0.07692,Brushed
91,0.991,0.09507,63.75709,0.1367,0.06092,Brushed
92,0.985,0.03898,59.20334,0.09741,0.02832,Brushed
93,0.989,0.02396,65.4572,0.14606,0.01906,Brushed
