Realization	utility	week	infra.
222	0	1878	9
222	0	2139	10
225	0	2295	4
226	0	1095	8
226	0	1356	9
226	0	1617	4
226	0	1878	10
227	0	2035	4
228	0	1461	8
228	0	2087	4
229	0	1252	4
229	0	1565	8
229	0	1826	9
229	0	2087	10
230	0	1043	8
230	0	1408	4
230	0	1669	9
230	0	1930	10
231	0	1826	4
231	0	2139	8
232	0	1513	4
232	0	1826	8
233	0	1095	8
233	0	1669	4
233	0	1930	9
233	0	2191	10
234	0	730	8
234	0	1043	4
234	0	1304	9
234	0	1565	10
238	0	1982	4
238	0	2295	8
240	0	1617	4
240	0	1930	8
240	0	2191	9
241	0	1513	4
241	0	1826	8
242	0	991	8
242	0	1461	4
242	0	1722	9
242	0	1982	10
243	0	1304	4
243	0	1617	8
245	0	2191	4
246	0	1461	4
246	0	1774	8
247	0	1722	4
247	0	2087	8
252	0	2139	4
255	0	1617	4
255	0	1930	8
256	0	1565	4
256	0	1878	8
257	0	1043	8
257	0	1461	4
257	0	1722	9
257	0	1982	10
261	0	1617	4
261	0	1982	8
262	0	1356	8
264	0	1513	4
264	0	1826	8
265	0	1200	4
265	0	1513	8
265	0	1774	9
265	0	2139	10
266	0	939	8
266	0	1513	4
266	0	1774	9
266	0	2035	10
268	0	1200	4
268	0	1513	8
268	0	1930	9
268	0	2295	10
272	0	1774	4
272	0	2139	8
275	0	1461	4
275	0	1774	8
279	0	1826	4
279	0	2139	8
281	0	1565	4
281	0	1878	8
281	0	2139	9
282	0	1095	8
282	0	2035	4
283	0	1200	8
283	0	1930	4
283	0	2191	9
285	0	1200	4
285	0	1513	8
285	0	1774	9
285	0	2035	10
287	0	1252	4
287	0	1565	8
287	0	1826	9
287	0	2087	10
288	0	1982	4
288	0	2295	8
290	0	1669	4
290	0	1982	8
291	0	887	8
291	0	1148	9
291	0	1408	10
291	0	1722	4
294	0	2087	4
295	0	1252	8
295	0	1722	4
295	0	2139	9
298	0	1617	4
298	0	1930	8
299	0	2087	4
301	0	1408	8
303	0	1982	4
304	0	1617	4
304	0	1930	8
304	0	2191	9
312	0	2295	4
316	0	1669	4
316	0	1982	8
318	0	1774	4
318	0	2087	8
319	0	1095	8
319	0	1408	4
319	0	1669	9
319	0	1930	10
321	0	1826	4
321	0	2139	8
323	0	1722	4
323	0	2035	8
326	0	1252	4
326	0	1565	8
326	0	1826	9
326	0	2087	10
327	0	1774	4
327	0	2087	8
329	0	1878	4
329	0	2191	8
333	0	1095	8
333	0	1617	4
333	0	1878	9
333	0	2139	10
334	0	1148	4
334	0	1461	8
335	0	1617	4
335	0	1930	8
336	0	1878	4
336	0	2191	8
338	0	1617	4
338	0	1930	8
339	0	1513	4
339	0	1826	8
339	0	2087	9
340	0	2243	4
344	0	1408	4
344	0	1722	8
344	0	1982	9
344	0	2243	10
345	0	1252	4
345	0	1565	8
348	0	939	8
348	0	1513	4
348	0	1774	9
348	0	2035	10
351	0	1043	8
351	0	1461	4
351	0	1722	9
351	0	1982	10
354	0	1408	4
354	0	1722	8
354	0	2295	9
355	0	1930	4
355	0	2243	8
357	0	1513	4
357	0	1826	8
358	0	1461	4
358	0	1774	8
360	0	1408	4
360	0	1722	8
360	0	1982	9
360	0	2243	10
361	0	939	8
361	0	1513	4
361	0	1774	9
361	0	2035	10
362	0	1826	4
363	0	1252	8
363	0	1878	4
363	0	2139	9
364	0	1408	4
364	0	1722	8
364	0	1982	9
364	0	2243	10
365	0	1722	4
365	0	2035	8
366	0	1043	8
366	0	1461	4
366	0	1982	9
366	0	2243	10
367	0	1930	4
368	0	834	8
368	0	1669	4
368	0	1930	9
368	0	2191	10
369	0	2035	4
370	0	2139	4
371	0	2191	4
372	0	1252	8
372	0	1774	4
372	0	2087	9
374	0	1774	4
374	0	2087	8
375	0	834	8
375	0	1461	4
375	0	1722	9
375	0	1982	10
380	0	1408	4
380	0	1722	8
383	0	2243	4
385	0	2139	4
389	0	1304	4
389	0	1617	8
393	0	1565	4
393	0	1878	8
393	0	2139	9
394	0	834	8
394	0	1095	9
394	0	1408	4
394	0	1669	10
395	0	1565	8
396	0	1513	8
397	0	2087	4
398	0	1617	4
398	0	1930	8
399	0	2087	4
403	0	1043	8
403	0	1356	9
403	0	1669	4
403	0	1930	10
407	0	1930	4
407	0	2295	8
408	0	1930	4
408	0	2243	8
409	0	834	8
409	0	1252	4
409	0	1513	9
409	0	1774	10
410	0	1826	4
410	0	2139	8
412	0	1356	8
412	0	2295	4
413	0	1513	4
413	0	1826	8
414	0	2087	4
415	0	1095	4
415	0	1408	8
416	0	1408	4
416	0	1722	8
416	0	1982	9
416	0	2243	10
417	0	834	8
417	0	1408	4
417	0	1669	9
417	0	1930	10
418	0	1252	4
418	0	1565	8
418	0	1826	9
418	0	2087	10
419	0	1826	4
419	0	2139	8
421	0	1513	4
421	0	1826	8
421	0	2139	9
422	0	1043	8
422	0	1513	4
422	0	1774	9
422	0	2035	10
423	0	1148	8
425	0	1826	4
425	0	2139	8
428	0	887	8
428	0	1408	4
428	0	1669	9
428	0	1930	10
430	0	1565	4
430	0	1878	8
430	0	2139	9
431	0	1095	8
431	0	1669	4
431	0	1930	9
431	0	2191	10
432	0	2087	4
433	0	1669	4
433	0	1982	8
434	0	1930	4
434	0	2295	8
435	0	887	8
435	0	1304	4
435	0	1565	9
435	0	1826	10
441	0	1513	4
441	0	1826	8
443	0	1878	4
443	0	2191	8
445	0	2035	4
446	0	1304	4
446	0	1617	8
446	0	2035	9
448	0	1408	8
448	0	2087	4
450	0	991	8
450	0	1513	4
450	0	1774	9
450	0	2035	10
451	0	1565	4
451	0	1878	8
451	0	2139	9
452	0	1043	8
453	0	939	8
453	0	1356	4
453	0	1617	9
453	0	1878	10
454	0	1617	4
454	0	1930	8
454	0	2243	9
455	0	1356	8
455	0	1669	4
455	0	1930	9
455	0	2191	10
456	0	1408	4
456	0	1722	8
457	0	1095	4
457	0	1408	8
457	0	1669	9
457	0	1930	10
459	0	1513	4
459	0	1826	8
459	0	2087	9
461	0	991	8
461	0	1617	4
461	0	1878	9
461	0	2139	10
465	0	939	8
465	0	1356	4
465	0	1617	9
465	0	1878	10
466	0	1408	4
466	0	1722	8
467	0	469	9
467	0	782	8
467	0	1095	4
467	0	1356	10
468	0	1043	8
468	0	1722	4
468	0	1982	9
468	0	2243	10
470	0	1356	4
470	0	1669	8
470	0	1930	9
470	0	2191	10
472	0	1304	4
472	0	1617	8
472	0	1878	9
472	0	2139	10
473	0	1461	4
473	0	1774	8
474	0	1930	4
474	0	2243	8
475	0	1513	4
475	0	1826	8
476	0	1148	4
476	0	1461	8
483	0	1878	4
483	0	2191	8
484	0	887	8
484	0	1461	4
484	0	1722	9
484	0	1982	10
485	0	1930	4
485	0	2243	8
486	0	1304	8
486	0	1513	4
486	0	1826	9
486	0	2087	10
487	0	1617	4
487	0	1930	8
487	0	2191	9
489	0	1669	4
489	0	1982	8
490	0	1722	4
490	0	2035	8
490	0	2295	9
494	0	1930	4
500	0	1774	4
500	0	2087	8
504	0	1826	4
504	0	2139	8
508	0	939	8
508	0	1565	4
508	0	1826	9
508	0	2087	10
510	0	1095	8
510	0	1826	4
510	0	2087	9
513	0	1565	4
513	0	1878	8
513	0	2139	9
514	0	2035	4
515	0	2139	4
519	0	1826	4
519	0	2139	8
520	0	1200	8
